Rank,Título,Ano,Nota,Duração,Diretor
1,Um Sonho de Liberdade,1994,"9,3",2h 22m,Frank Darabont
2,O Poderoso Chefão,1972,"9,2",2h 55m,Francis Ford Coppola
3,Batman: O Cavaleiro das Trevas,2008,"9,0",2h 32m,Christopher Nolan
4,O Poderoso Chefão: Parte II,1974,"9,0",3h 22m,Francis Ford Coppola
5,12 Homens e uma Sentença,1957,"9,0",1h 36m,Sidney Lumet
6,O Senhor dos Anéis: O Retorno do Rei,2003,"9,0",3h 21m,Peter Jackson
7,A Lista de Schindler,1993,"9,0",3h 15m,Steven Spielberg
8,Pulp Fiction: Tempo de Violência,1994,"8,9",2h 34m,Quentin Tarantino
9,O Senhor dos Anéis: A Sociedade do Anel,2001,"8,9",2h 58m,Peter Jackson
10,Três Homens em Conflito,1966,"8,8",2h 41m,Sergio Leone
11,Forrest Gump: O Contador de Histórias,1994,"8,8",2h 22m,Robert Zemeckis
12,O Senhor dos Anéis: As Duas Torres,2002,"8,8",2h 59m,Peter Jackson
13,Clube da Luta,1999,"8,8",2h 19m,David Fincher
14,A Origem,2010,"8,8",2h 28m,Christopher Nolan
15,Star Wars: Episódio V - O Império Contra-Ataca,1980,"8,7",2h 4m,Irvin Kershner
16,Matrix,1999,"8,7",2h 16m,"Lana Wachowski, Lilly Wachowski"
17,Os Bons Companheiros,1990,"8,7",2h 25m,Martin Scorsese
18,Interestelar,2014,"8,7",2h 49m,Christopher Nolan
19,Um Estranho no Ninho,1975,"8,7",2h 13m,Milos Forman
20,Seven - Os Sete Crimes Capitais,1995,"8,6",2h 7m,David Fincher
21,A Felicidade Não se Compra,1946,"8,6",2h 10m,Frank Capra
22,O Silêncio dos Inocentes,1991,"8,6",1h 58m,Jonathan Demme
23,Os Sete Samurais,1954,"8,6",3h 27m,Akira Kurosawa
24,O Resgate do Soldado Ryan,1998,"8,6",2h 49m,Steven Spielberg
25,Cidade de Deus,2002,"8,6",2h 10m,"Fernando Meirelles, Kátia Lund"
26,À Espera de um Milagre,1999,"8,6",3h 9m,Frank Darabont
27,A Vida é Bela,1997,"8,6",1h 56m,Roberto Benigni
28,O Exterminador do Futuro 2: O Julgamento Final,1991,"8,6",2h 17m,James Cameron
29,Star Wars: Episódio IV - Uma Nova Esperança,1977,"8,6",2h 1m,George Lucas
30,De Volta para o Futuro,1985,"8,5",1h 56m,Robert Zemeckis
31,A Viagem de Chihiro,2001,"8,6",2h 4m,Hayao Miyazaki
32,O Pianista,2002,"8,5",2h 30m,Roman Polanski
33,Gladiador,2000,"8,5",2h 35m,Ridley Scott
34,Parasita,2019,"8,5",2h 12m,Bong Joon Ho
35,Psicose,1960,"8,5",1h 49m,Alfred Hitchcock
36,O Rei Leão,1994,"8,5",1h 28m,"Roger Allers, Rob Minkoff"
37,Túmulo dos Vagalumes,1988,"8,5",1h 28m,Isao Takahata
38,Os Infiltrados,2006,"8,5",2h 31m,Martin Scorsese
39,Whiplash: Em Busca da Perfeição,2014,"8,5",1h 46m,Damien Chazelle
40,Harakiri,1962,"8,6",2h 13m,Masaki Kobayashi
41,O Grande Truque,2006,"8,5",2h 10m,Christopher Nolan
42,A Outra História Americana,1998,"8,5",1h 59m,Tony Kaye
43,O Profissional,1994,"8,5",1h 50m,Luc Besson
44,Homem-Aranha: Através do Aranhaverso,2023,"8,5",2h 20m,"Joaquim Dos Santos, Kemp Powers, Justin K. Thompson"
45,Casablanca,1942,"8,5",1h 42m,Michael Curtiz
46,Os Suspeitos,1995,"8,5",1h 46m,Bryan Singer
47,Intocáveis,2011,"8,5",1h 52m,"Olivier Nakache, Éric Toledano"
48,Cinema Paradiso,1988,"8,5",2h 54m,Giuseppe Tornatore
49,Alien - O 8º Passageiro,1979,"8,5",1h 57m,Ridley Scott
50,Tempos Modernos,1936,"8,5",1h 27m,Charles Chaplin
51,Janela Indiscreta,1954,"8,5",1h 52m,Alfred Hitchcock
52,Era uma Vez no Oeste,1968,"8,5",2h 46m,Sergio Leone
53,Django Livre,2012,"8,5",2h 45m,Quentin Tarantino
54,Luzes da Cidade,1931,"8,5",1h 27m,Charles Chaplin
55,Apocalypse Now,1979,"8,4",2h 27m,Francis Ford Coppola
56,Duna: Parte 2,2024,"8,5",2h 46m,Denis Villeneuve
57,WALL·E,2008,"8,4",1h 38m,Andrew Stanton
58,Amnésia,2000,"8,4",1h 53m,Christopher Nolan
59,Os Caçadores da Arca Perdida,1981,"8,4",1h 55m,Steven Spielberg
60,A Vida dos Outros,2006,"8,4",2h 17m,Florian Henckel von Donnersmarck
61,Vingadores: Guerra Infinita,2018,"8,4",2h 29m,"Anthony Russo, Joe Russo"
62,Crepúsculo dos Deuses,1950,"8,4",1h 50m,Billy Wilder
63,Homem-Aranha: No Aranhaverso,2018,"8,4",1h 57m,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
64,Testemunha de Acusação,1957,"8,4",1h 56m,Billy Wilder
65,Glória Feita de Sangue,1957,"8,4",1h 28m,Stanley Kubrick
66,O Iluminado,1980,"8,4",2h 26m,Stanley Kubrick
67,O Grande Ditador,1940,"8,4",2h 5m,Charles Chaplin
68,Repetente,2023,"8,7",2h 27m,Vidhu Vinod Chopra
69,Bastardos Inglórios,2009,"8,4",2h 33m,Quentin Tarantino
70,Aliens: O Resgate,1986,"8,4",2h 17m,James Cameron
71,Batman: O Cavaleiro das Trevas Ressurge,2012,"8,4",2h 44m,Christopher Nolan
72,Viva: A Vida é uma Festa,2017,"8,4",1h 45m,"Lee Unkrich, Adrian Molina"
73,Amadeus,1984,"8,4",2h 40m,Milos Forman
74,Toy Story,1995,"8,3",1h 21m,John Lasseter
75,Vingadores: Ultimato,2019,"8,4",3h 1m,"Anthony Russo, Joe Russo"
76,Gênio Indomável,1997,"8,3",2h 6m,Gus Van Sant
